"","first_author","original_title","average_rating","ratings_count","ratings_1","ratings_5","genres","pages","chick_lit","if_wom","prop_one_star","prop_five_star"
"4707","Chris Van Allsburg","Jumanji",4.03,22344,368,8807,"['fantasy', 'fiction', 'classics', 'young-adult']",32,"no","no",0.0164697457930541,0.394155030433226
"4708","Ken Grimwood","Replay",4.16,20558,222,8687,"['fiction', 'science-fiction', 'fantasy', 'romance']",311,"no","yes",0.010798715828388,0.422560560365794
"4709","David Eagleman","Incognito: The Secret Lives of the Brain",3.98,17969,312,6118,"['nonfiction', 'science', 'psychology', 'philosophy', 'self-help']",290,"no","no",0.0173632366854026,0.340475262952863
"4710","Neil deGrasse Tyson","Death by Black Hole: And Other Cosmic Quandaries",4.11,18702,404,7539,"['science', 'nonfiction', 'history']",384,"no","no",0.0216019677039889,0.403111966634585
"4711","Margaret Atwood","The Edible Woman",3.67,23191,482,4996,"['fiction', 'classics', 'contemporary']",310,"no","no",0.0207839247984132,0.215428398947868
"4712","Richard Dawkins","The Ancestor's Tale: A Pilgrimage to the Dawn of Evolution",4.13,17617,542,7817,"['science', 'nonfiction', 'history', 'philosophy']",688,"no","no",0.0307657376397798,0.443719134926491
"4713","Marissa Meyer","Heartless",4.06,37000,607,14397,"['fantasy', 'young-adult', 'romance', 'fiction']",453,"no","yes",0.0164054054054054,0.389108108108108
"4714","Paul Zindel","The Pigman",3.58,22807,867,4941,"['fiction', 'young-adult', 'classics', 'contemporary']",166,"no","no",0.0380146446266497,0.216644012803087
"4715","Lincoln Child","Deep Storm",3.87,20109,213,5475,"['thriller', 'fiction', 'mystery', 'science-fiction', 'suspense', 'horror']",370,"no","no",0.0105922721169626,0.272266149485305
"4716","Meg Cabot","Abandon",3.71,33159,1355,9562,"['young-adult', 'fantasy', 'romance', 'paranormal', 'fiction']",304,"no","yes",0.0408637172411713,0.288368165505594
"4717","Alexander McCall Smith","The Full Cupboard of Life",4.02,24766,67,7312,"['mystery', 'fiction', 'crime']",198,"no","no",0.00270532181216183,0.295243478963095
"4718","Kerrelyn Sparks","How to Marry a Millionaire Vampire",3.85,29698,1086,10439,"['paranormal', 'romance', 'fantasy', 'fiction']",371,"no","yes",0.0365681190652569,0.351505151862078
"4719","Dr. Seuss","The Foot Book: Dr. Seuss's Wacky Book of Opposites (Bright & Early Board Books)",3.99,23267,400,9627,"['fiction', 'classics', 'poetry', 'fantasy']",24,"no","no",0.017191730777496,0.413761980487386
"4720","Christina Lauren","Beautiful Bitch",3.94,32616,441,11116,"['romance', 'contemporary', 'chick-lit']",160,"yes","yes",0.0135209713024283,0.340814324258033
"4721","Robert Muchamore","The Recruit (Cherub, #1)",4.22,22294,278,10534,"['young-adult', 'fiction', 'mystery', 'thriller']",342,"no","no",0.012469722795371,0.472503812685027
"4722","Simon Singh","Fermat's Enigma: The Epic Quest to Solve the World's Greatest Mathematical Problem",4.22,18750,98,7927,"['science', 'nonfiction', 'history', 'biography', 'philosophy']",315,"no","no",0.00522666666666667,0.422773333333333
"4723","Richard Paul Evans","The Christmas Box",3.95,20819,343,7342,"['fiction', 'christian', 'religion']",125,"no","no",0.016475335030501,0.352658629136846
"4724","Amanda Hocking","My Blood Approves",3.83,26660,1082,9013,"['young-adult', 'paranormal', 'fantasy', 'romance', 'fiction']",278,"no","yes",0.0405851462865716,0.338072018004501
"4725","Aurora Rose Reynolds","Until November",4.16,38065,776,16912,"['romance', 'contemporary', 'chick-lit']",291,"yes","yes",0.0203861815315907,0.444292657296729
"4726","Angela Carter","The Bloody Chamber & Other Stories",4.02,25183,408,9227,"['fantasy', 'fiction', 'horror', 'classics']",128,"no","no",0.0162014057102013,0.366397966882421
"4727","Simon Schama","Power of Art",3.87,13497,617,5326,"['art', 'nonfiction', 'history', 'philosophy', 'biography']",448,"no","no",0.0457138623397792,0.394606208787138
"4728","Nora Roberts","Born in Shame",4.07,25932,152,9973,"['romance', 'contemporary', 'fiction', 'chick-lit', 'paranormal', 'fantasy']",371,"yes","yes",0.00586148388091933,0.384582754897424
"4729","Simone Elkeles","Return to Paradise",4.05,29892,488,12212,"['young-adult', 'romance', 'contemporary', 'chick-lit', 'fiction']",291,"yes","yes",0.0163254382443463,0.408537401311388
"4730","Jasmine Warga","My Heart and Other Black Holes",4.02,27878,361,9790,"['young-adult', 'contemporary', 'romance', 'fiction']",302,"no","yes",0.0129492790013631,0.351172967931702
"4731","Kim Gordon","Girl in a Band",3.58,15820,723,3236,"['music', 'nonfiction', 'memoir', 'biography', 'art']",273,"no","no",0.0457016434892541,0.204551201011378
"4732","Heather Brewer","Ninth Grade Slays (The Chronicles of Vladimir Tod, #2)",4.14,22539,335,10405,"['young-adult', 'fantasy', 'paranormal', 'fiction', 'horror', 'romance']",278,"no","yes",0.0148631261369182,0.46164426105861
"4733","Joseph Campbell","The Hero with a Thousand Faces",4.24,21207,241,10363,"['nonfiction', 'philosophy', 'psychology', 'history', 'religion', 'classics', 'spirituality']",416,"no","no",0.01136417220729,0.488659404913472
"4734","John Sandford","Bad Blood",4.21,20510,137,8648,"['mystery', 'fiction', 'thriller', 'crime', 'suspense']",388,"no","no",0.00667966845441248,0.421647976596782
"4735","D.C. Talk","Jesus Freaks: DC Talk and The Voice of the Martyrs - Stories of Those Who Stood for Jesus, the Ultimate Jesus Freaks",4.2,17925,194,8587,"['christian', 'nonfiction', 'biography', 'religion', 'history']",383,"no","no",0.0108228730822873,0.47905160390516
"4736","Anne Bishop","Daughter of the Blood",4.12,28102,958,13491,"['fantasy', 'romance', 'fiction', 'paranormal']",412,"no","yes",0.0340901003487296,0.480072592698029
"4737","Orson Scott Card","The Lost Gate",3.82,20884,361,5208,"['fantasy', 'fiction', 'young-adult', 'science-fiction']",379,"no","no",0.0172859605439571,0.249377513886229
"4738","Jo Nesbø","Politi (Harry Hole, #10)",4.22,21499,136,8995,"['crime', 'mystery', 'fiction', 'thriller', 'suspense']",436,"no","no",0.00632587562212196,0.418391553095493
"4739","Anne Rice","Vittorio the Vampire",3.5,23635,781,4956,"['horror', 'fantasy', 'fiction', 'paranormal', 'historical-fiction']",352,"no","no",0.0330442140892744,0.209689020520415
"4740","Yuu Watase","ふしぎ遊戯 1",4.08,18950,729,9492,"['manga', 'fantasy', 'romance', 'graphic-novels', 'comics', 'young-adult', 'fiction']",197,"no","yes",0.0384696569920844,0.50089709762533
"4741","Brunonia Barry","The Lace Reader",3.46,24564,842,3732,"['fiction', 'mystery', 'historical-fiction', 'fantasy', 'contemporary']",353,"no","no",0.0342778049177658,0.151929653150953
"4742","Sherman Alexie","The Lone Ranger and Tonto Fistfight in Heaven",4.09,20157,206,7407,"['fiction', 'young-adult', 'contemporary']",242,"no","no",0.0102197747680706,0.367465396636404
"4743","Laurell K. Hamilton","A Stroke of Midnight (Merry Gentry, #4)",4.06,29167,422,12004,"['fantasy', 'paranormal', 'romance', 'fiction']",385,"no","yes",0.0144684060753591,0.411561010731306
"4744","Stephenie Meyer","The Chemist",3.69,31052,1225,7767,"['fiction', 'thriller', 'mystery', 'romance', 'suspense', 'contemporary']",521,"no","yes",0.0394499549143372,0.250128816179312
"4745","Anchee Min","Empress Orchid",3.87,19138,221,5165,"['historical-fiction', 'fiction', 'romance']",368,"no","yes",0.0115477061343923,0.269881910335458
"4746","Kathy Reichs","",4.02,25090,116,8030,"['mystery', 'crime', 'fiction', 'thriller', 'suspense']",383,"no","no",0.00462335591869271,0.320047827819849
"4747","H.M. Ward","Damaged",3.93,29712,538,9773,"['romance', 'contemporary', 'fiction', 'young-adult']",341,"no","yes",0.0181071620893915,0.328924340333872
"4748","George MacDonald","The Princess and the Goblin",4,23691,331,8498,"['fantasy', 'classics', 'fiction', 'young-adult', 'christian']",241,"no","no",0.0139715503777806,0.358701616647672
"4749","Dr. Seuss","There's a Wocket in My Pocket",4.02,25489,458,10768,"['fiction', 'poetry', 'classics', 'fantasy', 'young-adult']",30,"no","no",0.0179685354466633,0.422456746047315
"4750","Dean Koontz","Midnight",3.81,20866,218,5448,"['horror', 'fiction', 'thriller', 'suspense', 'mystery', 'science-fiction', 'fantasy', 'paranormal']",496,"no","no",0.0104476181347647,0.261094603661459
"4751","Neal Stephenson","The Confusion",4.24,19175,144,8809,"['fiction', 'historical-fiction', 'science-fiction', 'fantasy']",815,"no","no",0.00750977835723598,0.459400260756193
"4752","Joelle Charbonneau","Independent Study",3.97,23831,198,7479,"['young-adult', 'science-fiction', 'fiction', 'fantasy', 'romance']",310,"no","yes",0.00830850572783349,0.313834920901347
"4753","Roger Zelazny","Lord of Light",4.1,21952,415,9571,"['science-fiction', 'fantasy', 'fiction', 'classics', 'religion']",296,"no","no",0.0189048833819242,0.435996720116618
"4754","Roald Dahl","Esio Trot",3.74,25196,470,6490,"['fiction', 'fantasy', 'classics', 'young-adult', 'romance']",80,"no","yes",0.0186537545642165,0.257580568344182
"4755","Mike Mignola","Hellboy: The Chained Coffin and Others",4.21,16747,156,7588,"['comics', 'graphic-novels', 'horror', 'fantasy', 'fiction', 'paranormal']",176,"no","no",0.0093151012121574,0.453096076909297
"4756","Scott B. Smith","A Simple Plan",3.91,19650,478,6157,"['fiction', 'thriller', 'mystery', 'crime', 'suspense']",432,"no","no",0.0243256997455471,0.313333333333333
"4757","James Patterson","Run for Your Life",4,22226,150,7071,"['mystery', 'fiction', 'thriller', 'crime', 'suspense']",373,"no","no",0.00674885269504184,0.318140916044272
"4758","Joan Didion","Play It as It Lays",3.86,18447,321,5364,"['fiction', 'classics', 'contemporary']",231,"no","no",0.0174012034477151,0.290778988453407
"4759","Kelley Armstrong","Dime Store Magic",4.07,29560,185,10766,"['fantasy', 'paranormal', 'romance', 'fiction']",414,"no","yes",0.00625845737483085,0.364208389715832
"4760","Kim Stanley Robinson","Blue Mars ",3.92,20907,368,6881,"['science-fiction', 'fiction', 'fantasy']",768,"no","no",0.0176017601760176,0.329124216769503
"4761","Paulo Coelho","As Valkírias",3.3,16954,1099,2844,"['fiction', 'spirituality', 'philosophy', 'contemporary', 'fantasy', 'romance', 'religion']",243,"no","yes",0.064822460776218,0.167748024065117
"4762","Louise Penny","The Long Way Home",4.06,20989,284,7895,"['mystery', 'fiction', 'crime']",373,"no","no",0.0135308971365954,0.376149411596551
"4763","A.S. King","Please Ignore Vera Dietz",3.91,23333,527,7251,"['young-adult', 'contemporary', 'fiction', 'mystery', 'romance']",327,"no","yes",0.0225860369433849,0.310761582308319
"4764","Joseph Delaney","The Spook's Curse",4.1,21917,146,8349,"['fantasy', 'young-adult', 'horror', 'fiction', 'paranormal']",480,"no","no",0.00666149564265182,0.38093717205822
"4765","L.J. Smith","The Struggle",3.5,29037,1337,6805,"['young-adult', 'fantasy', 'paranormal', 'romance', 'fiction', 'horror']",278,"no","yes",0.0460447015876296,0.23435616627062
"4766","Karen Marie Moning","The Dark Highlander",4.31,29554,169,14954,"['romance', 'paranormal', 'fantasy', 'fiction', 'historical-fiction']",370,"no","yes",0.00571834607836503,0.505989037016986
"4767","Karen Marie Moning","The Immortal Highlander ",4.34,28854,148,15067,"['romance', 'paranormal', 'fantasy', 'historical-fiction']",348,"no","yes",0.00512927150481736,0.522180633534345
"4768","Philip K. Dick","Valis",3.94,18949,464,6696,"['science-fiction', 'fiction', 'philosophy', 'religion', 'fantasy']",242,"no","no",0.0244867803050293,0.353369570953612
"4769","Simone de Beauvoir","Le deuxième sexe: I. Les faits et les mythes, II. L'expérience vécue",4.09,21160,243,8160,"['nonfiction', 'philosophy', 'classics']",746,"no","no",0.0114839319470699,0.385633270321361
"4770","Jennifer A. Nielsen","The Runaway King",4.23,25793,201,11577,"['fantasy', 'young-adult', 'fiction', 'romance', 'historical-fiction']",331,"no","yes",0.0077928120032567,0.448842709262203
"4771","Margaret Weis","Dragon Wing (The Death Gate Cycle, #1)",3.93,21892,354,7155,"['fantasy', 'fiction', 'science-fiction']",430,"no","no",0.0161702905170839,0.326831719349534
"4772","Brian K. Vaughan","Y: The Last Man Vol. 9: Motherland",4.27,20718,161,9841,"['graphic-novels', 'comics', 'science-fiction', 'fiction', 'fantasy']",144,"no","no",0.00777102036876146,0.474997586639637
"4773","Dan Simmons","Ilium",4.01,21323,376,7477,"['science-fiction', 'fantasy', 'fiction', 'historical-fiction']",752,"no","no",0.0176335412465413,0.350654223139333
"4774","Chitra Banerjee Divakaruni","The Palace of Illusions",4.11,17930,185,6735,"['fiction', 'fantasy', 'historical-fiction']",360,"no","no",0.0103179029559398,0.375627440044618
"4775","H.W. Brands","The First American: The Life and Times of Benjamin Franklin",4.09,15531,352,6352,"['biography', 'history', 'nonfiction']",765,"no","no",0.022664348721911,0.408988474663576
"4776","Douglas Preston","Dance of Death",4.16,22023,81,8374,"['thriller', 'mystery', 'fiction', 'horror', 'suspense', 'crime']",560,"no","no",0.00367797302819779,0.380238841211461
"4777","Susan Beth Pfeffer","This World We Live In",3.81,25456,480,7558,"['young-adult', 'science-fiction', 'fiction', 'romance', 'fantasy']",256,"no","yes",0.0188560653676933,0.296904462602137
"4778","Yoshihiro Togashi","Hunter × Hunter #1",4.43,18401,179,11396,"['manga', 'fantasy', 'comics', 'graphic-novels', 'fiction']",184,"no","no",0.00972773218846802,0.619314167708277
"4779","J.D. Robb","Vengeance in Death",4.34,28673,63,14140,"['mystery', 'romance', 'crime', 'fiction', 'suspense', 'science-fiction', 'thriller']",343,"no","yes",0.00219718899312942,0.493146862902382
"4780","Connie Willis","To Say Nothing of the Dog",4.13,25648,391,10620,"['science-fiction', 'fiction', 'historical-fiction', 'fantasy', 'mystery', 'romance']",512,"no","yes",0.0152448533998752,0.414067373674361
"4781","James Patterson","The Gift",3.78,23816,661,7190,"['fantasy', 'young-adult', 'fiction', 'paranormal', 'science-fiction']",333,"no","no",0.0277544507893853,0.301897883775613
"4782","Michael Crichton","The Terminal Man",3.34,20590,403,2362,"['fiction', 'science-fiction', 'thriller', 'suspense', 'horror', 'mystery']",266,"no","no",0.0195726080621661,0.114715881495872
"4783","Holly Black","White Cat",3.81,32957,929,8985,"['fantasy', 'young-adult', 'paranormal', 'fiction', 'mystery', 'romance']",310,"no","yes",0.0281882452893164,0.272627969778803
"4784","Raymond Carver","Where I’m Calling From: The Selected Stories",4.42,17553,142,9994,"['fiction', 'classics', 'contemporary']",544,"no","no",0.00808978522189939,0.569361362730018
"4785","Jasper Fforde","Something Rotten",4.15,27581,89,10107,"['fantasy', 'fiction', 'mystery', 'science-fiction']",385,"no","no",0.0032268590696494,0.366447917044342
"4786","Jean M. Auel","The Land of the Painted Caves",3.24,22787,2839,5231,"['historical-fiction', 'fiction', 'fantasy', 'romance']",828,"no","yes",0.124588581208584,0.229560714442445
"4787","Lucy Grealy","Autobiography of a Face",3.96,19686,261,6378,"['memoir', 'nonfiction', 'biography', 'psychology']",256,"no","no",0.0132581530021335,0.323986589454435
"4788","Lauren Oliver","Vanishing Girls",3.59,21289,564,4234,"['young-adult', 'mystery', 'contemporary', 'thriller', 'fiction', 'suspense', 'romance']",357,"no","yes",0.026492554840528,0.198882051763822
"4789","Walt Disney Company","Snow White and the Seven Dwarfs",4.18,20343,307,10406,"['fiction', 'classics', 'fantasy']",24,"no","no",0.0150911861574006,0.511527306690262
"4790","Angie Sage","Darke",4.23,22337,228,10509,"['fantasy', 'young-adult', 'fiction']",641,"no","no",0.0102072794018892,0.470474996642342
"4791","Jeff Kinney","The Wimpy Kid Movie Diary: How Greg Heffley Went Hollywood",4.16,16210,722,9199,"['nonfiction', 'graphic-novels', 'comics']",199,"no","no",0.0445404071560765,0.567489204194941
"4792","Dashiell Hammett","The Thin Man",3.97,21858,257,6883,"['mystery', 'fiction', 'classics', 'crime', 'thriller']",201,"no","no",0.011757708848019,0.314896147863482
"4793","David Brin","The Uplift War",4.06,20945,164,7418,"['science-fiction', 'fiction', 'fantasy']",638,"no","no",0.00783003103365958,0.35416567199809
"4794","Kingsley Amis","Lucky Jim",3.79,20137,529,5524,"['fiction', 'classics']",251,"no","no",0.0262700501564285,0.274320901822516
"4795","Karin Slaughter","A Faint Cold Fear",4.12,22211,125,8463,"['mystery', 'thriller', 'crime', 'fiction', 'suspense', 'contemporary']",422,"no","no",0.00562784206024042,0.381027418846517
"4796","Marie Lu","The Rose Society",4.11,29973,270,11686,"['fantasy', 'young-adult', 'romance', 'fiction', 'science-fiction', 'paranormal']",398,"no","yes",0.00900810729656691,0.389884229139559
"4797","Kristin Hannah","Angel Falls",3.9,19908,245,6039,"['fiction', 'romance', 'chick-lit', 'contemporary']",400,"yes","yes",0.0123066104078762,0.303345388788427
"4798","Susane Colasanti","Waiting For You",3.84,20656,532,6813,"['young-adult', 'romance', 'contemporary', 'chick-lit', 'fiction']",320,"yes","yes",0.0257552285050349,0.329831525948877
"4799","Li Cunxin","",4.12,18623,146,6929,"['nonfiction', 'biography', 'memoir', 'history']",480,"no","no",0.00783976802878161,0.372066799119369
"4800","Lisa Gardner","The Neighbor",4.08,23482,126,8077,"['mystery', 'thriller', 'fiction', 'suspense', 'crime']",373,"no","no",0.00536581211140448,0.34396559066519
"4801","Brian K. Vaughan","Y: The Last Man Vol. 10: Whys And Wherefores",4.34,20175,210,10935,"['graphic-novels', 'comics', 'science-fiction', 'fiction', 'fantasy']",168,"no","no",0.0104089219330855,0.542007434944238
"4802","Greg Bear","Eon",3.86,19786,248,5542,"['science-fiction', 'fiction', 'fantasy']",512,"no","no",0.0125341150308299,0.280097038309916
"4803","C.G. Jung","Erinnerungen, Träume, Gedanken von C.G. Jung",4.19,17604,373,8309,"['psychology', 'nonfiction', 'philosophy', 'biography', 'memoir', 'spirituality', 'science', 'history']",430,"no","no",0.0211883662803908,0.471995001136105
"4804","Laurell K. Hamilton","Bullet",3.82,27502,1144,9822,"['paranormal', 'fantasy', 'romance', 'fiction', 'horror']",356,"no","yes",0.0415969747654716,0.357137662715439
"4805","Diana Gabaldon","The Scottish Prisoner",4.19,21447,194,9288,"['historical-fiction', 'fiction', 'fantasy', 'mystery', 'romance']",560,"no","yes",0.00904555415675852,0.433067561896769
"4806","Meg Cabot","Reunion",4.09,30937,167,11949,"['young-adult', 'paranormal', 'fantasy', 'romance', 'fiction', 'mystery', 'chick-lit']",289,"yes","yes",0.0053980670394673,0.386236545237095
"4807","ياسر حارب","بيكاسو وستاربكس",3.55,16294,1213,4637,"['nonfiction', 'philosophy', 'self-help']",175,"no","no",0.0744445808272984,0.284583282189763
"4808","Milan Kundera","Směšné lásky ",3.86,17408,179,4489,"['fiction', 'classics', 'contemporary', 'philosophy', 'romance']",287,"no","yes",0.0102826286764706,0.257869944852941
"4809","Julia Quinn","The Secret Diaries of Miss Miranda Cheever",3.93,26855,539,9269,"['romance', 'historical-fiction', 'fiction', 'chick-lit']",373,"yes","yes",0.0200707503258239,0.345149878979706
"4810","Founding Fathers","The Constitution of the United States of America",4.54,19933,254,14282,"['history', 'nonfiction', 'classics', 'philosophy']",30,"no","no",0.0127426880048161,0.716500275924347
"4811","Gilles Néret","Gustav Klimt: le monde comme une forme féminine",4.12,15741,319,7169,"['art', 'nonfiction', 'biography', 'history']",96,"no","no",0.0202655485674354,0.455434851661267
"4812","Malcolm Lowry","Under the Volcano",3.8,18000,799,6136,"['fiction', 'classics', 'historical-fiction']",397,"no","no",0.0443888888888889,0.340888888888889
"4813","Rachel Abbott","Sleep tight",3.98,18454,296,6066,"['mystery', 'thriller', 'crime', 'fiction', 'suspense']",300,"no","no",0.0160398829522055,0.328709222932697
"4814","Robert A. Heinlein","Have Space Suit - Will Travel",3.89,21785,142,6135,"['science-fiction', 'fiction', 'young-adult', 'classics', 'fantasy']",276,"no","no",0.00651824649988524,0.281615790681662
"4815","Jack London","The Sea Wolf",4.01,19441,212,6718,"['classics', 'fiction', 'historical-fiction']",425,"no","no",0.0109047888483103,0.345558356051643
"4816","Meg Cabot","Darkest Hour",4.16,29910,140,12618,"['young-adult', 'paranormal', 'fantasy', 'romance', 'fiction', 'mystery', 'chick-lit']",316,"yes","yes",0.0046807087930458,0.421865596790371
"4817","Kate Beaton","Hark! A Vagrant",4.27,20789,491,10855,"['graphic-novels', 'comics', 'history', 'nonfiction']",168,"no","no",0.0236182596565491,0.522151137620857
"4818","Ann Packer","The Dive From Clausen's Pier",3.41,19639,792,2760,"['fiction', 'contemporary', 'chick-lit', 'romance']",432,"yes","yes",0.0403279189368094,0.140536687204033
"4819","Thomas Mann","Der Tod in Venedig",3.73,22848,662,6009,"['classics', 'fiction']",160,"no","no",0.0289740896358543,0.262998949579832
"4820","Sogyal Rinpoche","The Tibetan Book of Living and Dying",4.22,18380,236,8806,"['spirituality', 'nonfiction', 'philosophy', 'religion', 'self-help', 'classics', 'psychology']",464,"no","no",0.0128400435255713,0.479107725788901
"4821","Orson Scott Card","Enchantment",3.89,23158,373,6899,"['fantasy', 'fiction', 'romance', 'science-fiction', 'historical-fiction']",422,"no","yes",0.016106744969341,0.297910009499957
"4822","Edgar Allan Poe","The Fall of the House of Usher ",3.92,28453,314,8762,"['classics', 'horror', 'fiction', 'mystery']",36,"no","no",0.011035743155379,0.30794643798545
"4823","D.J. MacHale","The Soldiers of Halla",4.27,19934,343,10740,"['fantasy', 'young-adult', 'fiction', 'science-fiction']",594,"no","no",0.0172067823818601,0.538777967292064
"4824","E. Lockhart","The Boyfriend List: 15 Guys, 11 Shrink Appointments, 4 Ceramic Frogs and Me, Ruby Oliver (Ruby Oliver, #1)",3.49,24018,1180,4834,"['young-adult', 'contemporary', 'romance', 'chick-lit', 'fiction']",229,"yes","yes",0.04912981930219,0.201265717378633
"4825","Pat Barker","Regeneration",4.03,19993,268,7042,"['historical-fiction', 'fiction']",256,"no","no",0.0134046916420747,0.352223278147352
"4826","Veronica Roth","Four: The Initiate",4.2,20659,219,9778,"['young-adult', 'fiction', 'science-fiction', 'fantasy', 'romance']",40,"no","yes",0.0106007067137809,0.473304613001597
"4827","Michael J. Fox","Lucky Man",4.06,18607,197,6552,"['nonfiction', 'biography', 'memoir']",260,"no","no",0.0105874133390659,0.352125544150051
"4828","Margaret Atwood","The Penelopiad",3.66,25698,464,5286,"['fiction', 'historical-fiction', 'fantasy', 'classics']",198,"no","no",0.0180558798350066,0.205696941396218
"4829","John Joseph Adams","The Improbable Adventures of Sherlock Holmes",4.37,16701,225,9545,"['mystery', 'fantasy', 'fiction', 'historical-fiction', 'crime', 'horror', 'science-fiction']",454,"no","no",0.0134722471708281,0.571522663313574
"4830","James     Baldwin","The Fire Next Time",4.45,21328,105,12568,"['nonfiction', 'classics', 'history', 'memoir']",106,"no","no",0.00492310577644411,0.58927231807952
"4831","Grant Morrison","We3",3.95,19717,811,7786,"['comics', 'graphic-novels', 'science-fiction', 'fiction', 'fantasy']",104,"no","no",0.0411320180554851,0.394887660394583
"4832","Meg Cabot","Princess in Pink",3.69,29540,444,7250,"['young-adult', 'romance', 'chick-lit', 'contemporary', 'fiction']",275,"yes","yes",0.0150304671631686,0.245429925524712
"4833","Ellen Schreiber","The Coffin Club (Vampire Kisses, #5)",4.06,23288,535,10893,"['young-adult', 'paranormal', 'romance', 'fantasy', 'fiction']",177,"no","yes",0.0229732050841635,0.46775163174167
"4834","Sinclair Lewis","Main Street",3.75,20509,585,5410,"['classics', 'fiction', 'historical-fiction']",454,"no","no",0.0285240626066605,0.263786630259886
"4835","Rick Riordan","Percy Jackson's Greek Gods",4.51,29563,159,18797,"['fantasy', 'young-adult', 'fiction']",417,"no","no",0.00537834455231201,0.635828569495653
"4836","Catherine Gilbert Murdock","Dairy Queen",3.73,24821,1003,6721,"['young-adult', 'sports', 'contemporary', 'romance', 'fiction', 'chick-lit']",275,"yes","yes",0.0404093308085895,0.270778776036421
"4837","Karin Slaughter","Genesis",4.24,22240,101,9371,"['thriller', 'mystery', 'crime', 'fiction', 'suspense']",436,"no","no",0.00454136690647482,0.421357913669065
"4838","Laurell K. Hamilton","Flirt",3.7,28440,1325,9218,"['paranormal', 'fantasy', 'romance', 'fiction', 'horror']",192,"no","yes",0.0465893108298172,0.324120956399437
"4839","Nora Roberts","Inner Harbor (Chesapeake Bay Saga #3)",4.16,25621,68,10553,"['romance', 'contemporary', 'fiction', 'chick-lit', 'mystery']",324,"yes","yes",0.00265407283088092,0.411888685063034
"4840","Christopher Moore","Bite Me",3.85,22295,400,5970,"['fiction', 'fantasy', 'paranormal', 'horror', 'romance']",309,"no","yes",0.0179412424310384,0.267773043283247
"4841","Kristen Britain","Green Rider",4.09,25680,413,10362,"['fantasy', 'young-adult', 'fiction', 'romance']",471,"no","yes",0.016082554517134,0.403504672897196
"4842","Anne McCaffrey","The Dragonriders of Pern",4.22,22669,206,10618,"['fantasy', 'science-fiction', 'fiction', 'young-adult']",864,"no","no",0.00908729983678151,0.468392959548282
"4843","David  Brooks","The Social Animal: The Hidden Sources of Love, Character, and Achievement",3.83,16744,426,4883,"['nonfiction', 'psychology', 'science', 'philosophy', 'self-help', 'business']",424,"no","no",0.0254419493549928,0.29162685140946
"4844","Ian McEwan","Solar",3.23,20041,1065,2006,"['fiction', 'contemporary', 'science-fiction']",287,"no","no",0.0531410608253081,0.100094805648421
"4845","Thomas S. Kuhn","The Structure of Scientific Revolutions",3.98,17508,484,6490,"['science', 'philosophy', 'nonfiction', 'history', 'classics']",226,"no","no",0.0276445053689742,0.370687685629427
"4846","Andrea Levy","Small Island",3.89,19654,320,5412,"['fiction', 'historical-fiction', 'contemporary']",441,"no","no",0.0162816729418948,0.275363793629795
"4847","Louise Penny","A Great Reckoning",4.46,20529,138,11972,"['mystery', 'fiction', 'crime', 'thriller']",389,"no","no",0.00672219786643285,0.583175020702421
"4848","Sidney Sheldon","The Sky is Falling",3.54,16370,345,2951,"['fiction', 'thriller', 'mystery', 'suspense', 'crime', 'romance', 'contemporary']",399,"no","yes",0.0210751374465486,0.180268784361637
"4849","Arthur Koestler","Sonnenfinsternis",4.06,19452,253,7241,"['fiction', 'classics', 'historical-fiction', 'thriller']",216,"no","no",0.0130063746658441,0.372249640139831
"4850","Jaci Burton","The Perfect Play",3.93,32768,926,11532,"['romance', 'sports', 'contemporary', 'chick-lit']",324,"yes","yes",0.02825927734375,0.3519287109375
"4851","Jack Campbell","Dauntless (The Lost Fleet, #1)",3.93,21316,271,6249,"['science-fiction', 'fiction', 'fantasy']",293,"no","no",0.0127134546819291,0.293160067554888
"4852","Lois McMaster Bujold","The Curse of Chalion",4.16,24136,318,10198,"['fantasy', 'fiction', 'romance', 'science-fiction']",490,"no","yes",0.013175339741465,0.422522373218429
"4853","Elizabeth Flock","Me & Emma",3.9,18885,364,5896,"['fiction', 'contemporary', 'chick-lit', 'psychology']",296,"yes","yes",0.0192745565263437,0.312205454064072
"4854","Nora Roberts","Chesapeake Blue (Chesapeake Bay Saga, #4)",4.17,25788,115,10993,"['romance', 'fiction', 'contemporary', 'chick-lit', 'mystery']",357,"yes","yes",0.00445943849852645,0.426283542733054
"4855","Malinda Lo","Ash",3.62,23952,1199,6180,"['fantasy', 'young-adult', 'romance', 'fiction']",264,"no","yes",0.0500584502338009,0.258016032064128
"4856","Bernard Cornwell","The Burning Land",4.29,18871,48,8349,"['historical-fiction', 'fiction', 'fantasy']",336,"no","no",0.00254358539558052,0.442424884743787
"4857","Megan McCafferty","Second Helpings (Jessica Darling, #2)",4.08,23834,290,9447,"['young-adult', 'chick-lit', 'fiction', 'romance', 'contemporary']",357,"yes","yes",0.0121674918184107,0.396366535201813
"4858","Carolyn Mackler","The Earth, My Butt, and Other Big Round Things",3.77,22209,474,6287,"['young-adult', 'fiction', 'contemporary', 'chick-lit', 'romance']",256,"yes","yes",0.021342698905849,0.283083434643613
"4859","Joseph Conrad","Lord Jim",3.61,22703,1063,5341,"['classics', 'fiction', 'historical-fiction']",455,"no","no",0.0468220059023037,0.235255252609787
